name,last_name,number,date_of_birth,age,height,citizenship,position,foot,joined,contract_expires,outfitter,code,player_id,club_id,country_of_birth,city_of_birth
,Matheus Dias,41,2002-05-09,22,1.87,Brazil,Midfield - Defensive Midfield,right,2022-01-01,2027-12-31,Nike,matheus-dias,815384,6600.0,Brazil,São Paulo
Charles,Aránguiz,20,1989-04-17,35,1.71,Chile,Midfield - Central Midfield,right,2023-04-02,2025-06-30,Nike,charles-aranguiz,89701,6600.0,Chile,Puente Alto
,Campanharo,0,1992-04-04,32,1.78,Brazil,Midfield - Defensive Midfield,right,2024-03-06,2024-12-31,Nike,campanharo,103674,6600.0,Brazil,Caxias do Sul
,Johnny Cardoso,4,2001-09-20,22,1.86,United States,Midfield - Defensive Midfield,right,2024-01-01,2029-06-30,Nike,johnny-cardoso,689505,6600.0,United States,"Denville, New Jersey"
,Rômulo,40,2000-03-01,24,1.82,Brazil,Midfield - Defensive Midfield,right,2024-01-14,2027-12-31,,romulo,687359,6600.0,Brazil,Campo Grande
Hugo,Mallo,2,1991-06-22,32,1.73,Spain,Defender - Right-Back,right,2023-08-14,2024-07-31,,hugo-mallo,119905,6600.0,Spain,Marín
,Gabriel,3,1992-07-10,31,1.71,Brazil,Midfield - Defensive Midfield,right,2024-04-19,2024-12-31,Nike,gabriel,213606,6600.0,Brazil,Campinas
Fabricio,Bustos,16,1996-04-28,28,1.67,Argentina,Defender - Right-Back,right,2022-02-23,2024-12-31,adidas,fabricio-bustos,275381,6600.0,Argentina,Ucacha
,Mário Fernandes,6,1990-09-19,33,1.89,Russia,Defender - Right-Back,right,2023-07-17,2025-06-30,Nike,mario-fernandes,102740,6600.0,Brazil,São Caetano do Sul
,Rangel,16,2004-04-30,20,1.77,Brazil,Defender - Left-Back,left,2023-09-15,2024-06-30,,rangel,980767,6600.0,Brazil,Rebouças
,Thauan Lara,36,2004-01-22,20,1.76,Brazil,Defender - Left-Back,left,2024-03-07,2024-12-31,adidas,thauan-lara,749557,6600.0,Brazil,Porto Alegre
,Endrick,9,2006-07-21,17,1.73,Brazil,Attack - Centre-Forward,left,2023-01-01,2025-06-30,New Balance,endrick,971570,,Brazil,Taguatinga
,André Henrique,77,2001-12-17,22,1.89,Brazil,Attack - Centre-Forward,right,2024-01-01,2026-12-31,,andre-henrique,1024605,,Brazil,Guanambi
,Lelê,18,1997-10-01,26,1.89,Brazil,Attack - Centre-Forward,right,2024-01-10,2028-12-31,Nike,lele,972864,,Brazil,Rio de Janeiro
,JP Bardales,0,1999-08-02,24,1.88,Brazil,Attack - Centre-Forward,right,2024-05-08,,,jp-bardales,992531,,Brazil,Rio Branco
,Janderson,39,1999-05-06,25,1.89,Brazil,Attack - Centre-Forward,both,2024-04-19,2027-12-31,,janderson,976561,,Brazil,São João de Meriti
,Felipe Augusto,10,2004-02-18,20,1.87,Brazil,Attack - Centre-Forward,left,2024-01-06,2028-06-30,,felipe-augusto,834899,,Brazil,São Paulo
,Erison,9,1999-04-13,25,1.8,Brazil,Attack - Centre-Forward,left,2024-01-08,2027-06-30,Nike,erison,787238,,Brazil,Campinas
,Messias,37,1994-11-03,29,1.91,Brazil,Defender - Centre-Back,right,2024-04-12,2024-12-31,Nike,messias,401539,,Brazil,São Matheus
,Deivid Washington,36,2005-06-05,18,1.87,Brazil,Attack - Centre-Forward,right,2023-08-24,2030-06-30,adidas,deivid-washington,1082850,,Brazil,Itumbiara
,Talles Wander,19,2003-10-24,20,1.8,Brazil,Attack - Centre-Forward,right,2024-01-31,,,talles-wander,980866,,Brazil,Cotia
,João Magno,9,1997-02-15,27,1.95,Brazil,Attack - Centre-Forward,left,2024-01-10,,,joao-magno,595013,,Brazil,Bahia
,Lucas Emmanuel,0,2001-06-07,22,1.85,Brazil,Attack - Centre-Forward,left,2024-01-01,,,lucas-emmanuel,863119,,Brazil,Santana
,Ighor Gabryel,0,2003-01-15,21,1.76,Brazil,Attack - Centre-Forward,,2024-04-26,,,ighor-gabryel,902118,,Brazil,Brumadinho
,Henrique Almeida,0,1991-05-27,32,1.77,Brazil,Attack - Centre-Forward,right,2023-07-18,2024-12-31,,henrique-almeida,103743,,Brazil,Brasília
,Gustavo Coutinho,9,1999-01-19,25,1.86,Brazil,Attack - Centre-Forward,right,2024-01-13,2027-12-31,,gustavo-coutinho,612340,,Brazil,Rio de Janeiro
,Renato Marques,78,2003-12-09,20,1.8,Brazil,Attack - Centre-Forward,right,2023-02-01,2027-12-31,,renato-marques,985351,,Brazil,Belo Horizonte
Gonzalo,Mastriani,9,1993-04-28,31,1.82,Uruguay,Attack - Centre-Forward,left,2024-01-29,2026-12-31,,gonzalo-mastriani,195882,,Uruguay,Montevideo
,Julimar,20,2001-01-25,23,1.82,Brazil,Attack - Centre-Forward,right,2024-01-01,2025-12-31,,julimar,593205,,Brazil,Nova Ipixuna
,Rômulo,79,2002-02-08,22,1.93,Brazil,Attack - Centre-Forward,right,2024-02-07,2024-06-30,adidas,romulo,957874,,Brazil,Marialva
,Mikael,0,1999-05-28,24,1.84,Brazil,Attack - Centre-Forward,left,2022-07-01,2026-06-30,,mikael,642689,,Brazil,Bacabal
,Wellington Paulista,0,1983-04-22,41,1.8,Brazil,Attack - Centre-Forward,right,2024-01-01,,,wellington-paulista,51716,,Brazil,São Paulo
Luciano,Arriagada,32,2002-04-30,22,1.84,Chile,Attack - Centre-Forward,right,2024-03-13,2024-12-31,adidas,luciano-arriagada,737965,,Chile,Lota
,Aloísio,0,1988-06-19,35,1.7,China,Attack - Centre-Forward,right,2024-01-01,,,aloisio,55246,,Brazil,Araranguá
,Vitor Roque,19,2005-02-28,19,1.72,Brazil,Attack - Centre-Forward,right,2024-01-01,2031-06-30,Nike,vitor-roque,943837,,Brazil,Timóteo
,Zé Roberto,99,1993-09-14,30,1.84,Brazil,Attack - Centre-Forward,right,2024-03-07,2024-12-31,,ze-roberto,305428,,Brazil,Teixeira de Freitas
,Éberth,77,2003-06-19,20,1.93,Brazil,Attack - Centre-Forward,left,2024-01-01,2026-12-31,,eberth,1090820,,Brazil,Bom Jesus da Lapa
,Diogo de Oliveira,0,1996-12-04,27,1.94,Brazil,Attack - Centre-Forward,right,2020-01-15,,,diogo-de-oliveira,747820,,Brazil,São Paulo
,Matheus Cadorini,0,2002-09-01,21,1.91,Brazil,Attack - Centre-Forward,right,2023-07-03,2024-06-30,,matheus-cadorini,868060,,Brazil,Taubaté
,Edu,9,1993-03-05,31,1.8,Brazil,Attack - Centre-Forward,right,2024-02-14,,,edutm,548591,,Brazil,Rio de Janeiro
,Rodrigo Pinho,20,1991-05-30,32,1.85,Brazil,Attack - Centre-Forward,left,2024-01-03,2025-06-30,,rodrigo-pinho,366278,,Germany,Henstedt-Ulzburg
Islam,Slimani,13,1988-06-18,35,1.88,Algeria,Attack - Centre-Forward,right,2024-02-01,2024-06-30,Nike,islam-slimani,174915,,Algeria,El Hammamet
,Lucas Ronier,98,2004-11-26,19,1.63,Brazil,Attack - Right Winger,left,2023-07-01,2024-12-31,,lucas-ronier,1090819,,Brazil,Fazenda Rio Grande
,Ruan Assis,0,2004-04-20,20,1.83,Brazil,Attack - Right Winger,right,,2024-12-31,,ruan-assis,1090823,,Brazil,Curitiba
,Kaio César,37,2004-02-15,20,1.68,Brazil,Attack - Right Winger,right,2024-01-31,2024-06-30,,kaio-cesar,766258,,Brazil,Maceió
,Robson,30,1991-05-30,32,1.75,Brazil,Attack - Right Winger,right,2023-01-01,2024-12-31,,robson,161188,,Brazil,Campinas
,Fabrício Daniel,77,1997-07-23,26,1.82,Brazil,Attack - Right Winger,left,2024-02-15,2024-12-31,,fabricio-daniel,787269,,Brazil,Araraquara
,Wesley Pomba,57,2002-06-02,21,1.78,Brazil,Attack - Right Winger,right,2023-04-21,2024-12-31,,wesley-pomba,574774,,Brazil,Encruzilhada do Sul
,Maurício Garcez,11,1997-03-16,27,1.83,Brazil,Attack - Left Winger,right,2024-01-01,2027-12-31,,mauricio-garcez,802809,,Brazil,Chapadinha
,William Pottker,10,1993-12-22,30,1.82,Brazil,Attack - Right Winger,left,2023-07-03,2025-12-31,,william-pottker,199472,,Brazil,Florianópolis
,Jean Gabriel,0,2003-02-15,21,1.72,Brazil,Midfield - Attacking Midfield,right,2021-01-01,,,jean-gabriel,1088070,,Brazil,União da Vitória
Marcelino,Moreno,10,1995-06-25,28,1.68,Argentina,Attack - Left Winger,right,2024-01-19,2026-12-31,,marcelino-moreno,456617,,Argentina,San Martín
,Régis,0,1992-11-30,31,1.71,Brazil,Midfield - Attacking Midfield,left,2024-04-11,2024-12-31,,regis,272554,,Brazil,Jales
,Alef Manga,11,1994-11-29,29,1.9,Brazil,Attack - Left Winger,right,2023-01-01,2025-12-31,,alef-manga,612479,,Brazil,Santos
,Boschilia,8,1996-03-05,28,1.73,Brazil,Midfield - Attacking Midfield,left,2024-01-31,2024-06-30,,boschilia,288496,,Brazil,Piracicaba
,Jesé,0,1993-02-26,31,1.78,Spain,Attack - Left Winger,right,2024-01-01,,Nike,jese,134936,,Spain,Las Palmas de Gran Canaria
,Biel,17,2002-03-19,22,1.86,Brazil,Midfield - Attacking Midfield,right,2024-01-01,2024-12-31,,biel,867139,,Brazil,Curitiba
,Matheus Bianqui,18,1998-01-31,26,1.87,Brazil,Midfield - Central Midfield,right,2024-01-01,2026-12-31,,matheus-bianqui,634737,,Brazil,Ribeirão Claro
Sebastián,Gómez,19,1996-06-03,27,1.72,Colombia,Midfield - Attacking Midfield,left,2023-08-01,2026-12-31,,sebastian-gomez,570522,,Colombia,Girardota
,Bernardo,23,2002-01-08,22,1.86,Brazil,Midfield - Defensive Midfield,right,2022-02-01,2025-12-31,,bernardo,740294,,Brazil,Curitiba
,Fransérgio,15,1990-10-18,33,1.86,Brazil,Midfield - Central Midfield,right,2023-07-01,2026-12-31,,fransergio,111828,,Brazil,Rondonópolis
,Júnior Urso,30,1989-03-10,35,1.81,Brazil,Midfield - Central Midfield,right,2024-02-21,2024-12-31,,junior-urso,144789,,Brazil,Taboão da Serra
,Jorge Vinícius,0,2003-05-14,21,1.75,Brazil,Midfield - Defensive Midfield,right,2022-01-01,2025-01-31,,jorge-vinicius,1083542,,Brazil,Moreno
Jesús,Trindade,5,1993-07-10,30,1.78,Uruguay,Midfield - Defensive Midfield,right,2024-02-27,2027-06-30,,jesus-trindade,251773,,Uruguay,Salto
,Willian Farias,8,1989-06-06,34,1.78,Brazil,Midfield - Defensive Midfield,right,2024-01-11,2024-12-31,,willian-farias,71080,,Brazil,Curitiba
,Diogo Batista,2,2003-08-29,20,1.73,Brazil,Defender - Right-Back,right,2023-01-01,2024-12-31,,diogo-batista,994588,,Brazil,Januária
,Andrey,7,1998-02-15,26,1.75,Brazil,Midfield - Defensive Midfield,right,2022-02-01,2025-12-31,,andrey,351895,,Brazil,Rio de Janeiro
,Bruno Gomes,15,2001-04-04,23,1.75,Brazil,Midfield - Defensive Midfield,right,2024-02-16,2027-12-31,,bruno-gomes,703322,,Brazil,Rio de Janeiro
,Marcos Vinícius,63,1997-03-26,27,1.76,Brazil,Defender - Right-Back,right,2024-04-15,,,marcos-vinicius,594006,,Brazil,Emilianópolis
,Hayner,3,1995-10-02,28,1.78,Brazil,Defender - Right-Back,right,2024-01-01,2024-12-31,,hayner,389942,,Brazil,Vitória
,Jamerson,83,1998-09-09,25,1.77,Brazil,Defender - Left-Back,left,2023-04-01,2025-12-31,,jamerson,613641,,Brazil,Salvador
,Natanael,16,2002-01-05,22,1.72,Brazil,Defender - Right-Back,right,2021-01-01,2025-12-31,,natanael,740295,,Brazil,Braganey
Andreas,Samaris,0,1989-06-13,34,1.89,Greece,Midfield - Defensive Midfield,right,2024-01-01,,Nike,andreas-samaris,140032,,Greece,Patra
,Jean Pedroso,47,2004-01-28,20,1.91,Brazil,Defender - Centre-Back,right,2023-01-01,2026-12-31,,jean-pedroso,1090422,,Brazil,Carembei
,Thalisson,14,2002-01-20,22,1.9,Brazil,Defender - Centre-Back,right,2023-01-01,2025-12-31,,thalisson,874307,,Brazil,Bauru
Thiago,Dombroski,4,2002-06-20,21,1.9,Brazil,Defender - Centre-Back,left,2024-01-26,2025-06-30,,thiago-dombroski,1100480,,Brazil,Curitiba
,Victor Luís,12,1993-06-23,30,1.77,Brazil,Defender - Left-Back,left,2024-02-05,2024-12-31,,victor-luis,234538,,Brazil,São Paulo
,Márcio Silva,0,2001-07-07,22,1.92,Brazil,Defender - Centre-Back,left,2024-01-01,2024-11-30,,marcio-silva,863033,,Brazil,Juru
,Vilar,14,2000-04-18,24,1.9,Brazil,Defender - Centre-Back,right,2024-04-18,2024-12-31,,vilar,978269,,Brazil,Guarujá
,Diego Porfirio,0,1999-08-01,24,1.82,Brazil,Defender - Left-Back,left,,,,diego-porfirio,896860,,Brazil,Pindamonhangaba
,Maurício Antônio,5,1992-02-06,32,1.83,Brazil,Defender - Centre-Back,right,2023-08-14,2025-12-31,,mauricio-antonio,340557,,Brazil,São Paulo
,Pedro Morisco,72,2004-01-10,20,1.91,Brazil,Goalkeeper,right,2023-01-01,2027-12-31,,pedro-morisco,974488,,,
,Bruno Viana,36,1995-02-05,29,1.86,Brazil,Defender - Centre-Back,right,2023-08-17,2024-06-30,Nike,bruno-viana,411838,,Brazil,Macaé
Jhon,Chancellor,0,1992-01-02,32,1.97,Venezuela,Defender - Centre-Back,right,2024-02-07,2024-12-31,Nike,jhon-chancellor,213614,,Venezuela,Puerto Ordaz
,Sidnei,0,2003-03-28,21,1.91,Brazil,Goalkeeper,right,2023-09-22,2025-11-30,,sidnei,1090818,,Brazil,São José dos Pinhais
,Henrique,0,1986-10-14,37,1.85,Brazil,Defender - Centre-Back,right,2024-01-01,,,henrique,52513,,Brazil,Marechal Cândido Rondon
,Gabriel,1,1992-09-27,31,1.94,Brazil,Goalkeeper,right,2024-03-05,2024-12-31,,gabriel,79242,,Brazil,Unaí
,Alex Muralha,0,1989-11-10,34,1.89,Brazil,Goalkeeper,right,2024-01-01,2024-12-31,,alex-muralha,277743,,Brazil,Três Corações
,Pablo,92,1992-06-23,31,1.85,Brazil,Attack - Centre-Forward,right,2022-02-09,2025-12-31,Nike,pablo,148765,,Brazil,Londrina
,Reinaldo,0,2001-06-06,22,1.77,Brazil,Attack - Right Winger,right,2024-01-01,2024-12-31,,reinaldo,646256,,Brazil,Criciúma
,Marcão,71,2000-04-19,24,1.91,Brazil,Goalkeeper,right,2024-01-01,2024-06-30,,marcao,764266,,Brazil,São Sebastião
Agustín,Canobbio,14,1998-10-01,25,1.75,Uruguay,Attack - Right Winger,right,2022-03-30,2026-12-31,Nike,agustin-canobbio,457533,,Uruguay,Montevideo
,Marcelo Cirino,0,1992-01-22,32,1.82,Brazil,Attack - Right Winger,right,2024-01-10,,Nike,marcelo-cirino,114514,,Brazil,Maringá
Tomás,Cuello,28,2000-03-05,24,1.76,Argentina,Attack - Left Winger,right,2022-02-23,2025-12-31,adidas,tomas-cuello,503052,,Argentina,San Miguel de Tucumán
,Emersonn,0,2004-07-16,19,1.86,Brazil,Attack - Right Winger,right,,2024-05-31,adidas,emersonn,743599,,Brazil,Cachoeiro de Itapemirim
,Thiago Andrade,7,2000-10-31,23,1.79,Brazil,Attack - Left Winger,right,2024-02-08,2024-12-31,Nike,thiago-andrade,694606,,Brazil,Araras
,Chiqueti,0,2005-09-02,18,1.76,Brazil,Midfield - Attacking Midfield,both,,2025-12-31,,chiqueti,1094387,,Brazil,São Paulo
,Danielzinho,0,2002-06-28,21,1.69,Brazil,Midfield - Attacking Midfield,right,2024-04-15,2024-11-01,,danielzinho,1084186,,Brazil,São Carlos
,Dudu,0,2006-01-01,18,1.77,Brazil,Midfield - Attacking Midfield,left,,2026-04-30,,dudu,1004728,,Brazil,Curitiba
,Jajá,20,2001-04-15,23,1.77,Brazil,Attack - Left Winger,left,2024-01-31,2024-05-31,,jaja,739477,,Brazil,Catanduva
Bruno,Zapelli,10,2002-05-16,22,1.83,Argentina,Midfield - Attacking Midfield,right,2023-07-21,2028-07-01,adidas,bruno-zapelli,711600,,Argentina,Carlos Paz
,Murilo Sousa,0,2005-01-24,19,1.77,Brazil,Midfield - Central Midfield,both,,2026-05-31,,murilo-sousa,1094386,,Brazil,Campo Maior
,Vitinho,28,1999-04-01,25,1.81,Brazil,Attack - Left Winger,right,2023-02-10,2024-06-30,adidas,vitinho,670965,,Brazil,São José dos Campo
David,Terans,80,1994-08-11,29,1.76,Uruguay,Midfield - Attacking Midfield,left,2024-01-24,2026-12-31,Puma,david-terans,261309,,Uruguay,Montevideo
,Vitor Bueno,55,1994-09-05,29,1.85,Brazil,Midfield - Attacking Midfield,right,2024-01-11,2024-12-31,Nike,vitor-bueno,390368,,Brazil,Ribeirão Preto
,Alex Santana,80,1995-05-13,29,1.82,Brazil,Midfield - Central Midfield,right,2022-07-29,2026-06-30,Nike,alex-santana,219835,,Brazil,Atibaia
,Léo Cittadini,18,1994-02-27,30,1.79,Brazil,Midfield - Central Midfield,left,2024-02-27,2024-12-31,adidas,leo-cittadini,187210,,Brazil,Rio Claro
,Fernandinho,5,1985-05-04,39,1.79,Brazil,Midfield - Defensive Midfield,right,2022-07-18,2024-12-31,Puma,fernandinho,26267,,Brazil,Londrina
,João Cruz,0,2006-05-12,18,1.7,Brazil,Midfield - Central Midfield,right,,,,joao-cruz,1004738,,Brazil,São Paulo
,Hugo Moura,25,1998-01-03,26,1.77,Brazil,Midfield - Defensive Midfield,right,2024-04-18,2024-12-31,Nike,hugo-moura,644157,,Brazil,Rio de Janeiro
,Christian,88,2000-12-19,23,1.78,Brazil,Midfield - Central Midfield,right,2019-09-01,2025-12-31,adidas,christian,658678,,Brazil,Jundiaí
Bryan,García,20,2001-01-18,23,1.75,Ecuador,Midfield - Central Midfield,right,2023-07-05,,Nike,bryan-garcia,739496,,Ecuador,Río Verde
,Madson,22,1992-01-13,32,1.82,Brazil,Defender - Right-Back,right,2023-01-01,2024-12-31,Nike,madson,177845,,Brazil,Itaparica
,Erick,26,1997-11-14,26,1.76,Brazil,Midfield - Defensive Midfield,right,2019-01-01,2026-01-31,adidas,erick,633212,,Brazil,Nova Lima
,Khellven,2,2001-02-25,23,1.76,Brazil,Defender - Right-Back,right,2023-09-01,2028-06-30,Nike,khellven,653348,,Brazil,Alexandria
,Léo Ataíde,0,2004-01-19,20,1.75,Brazil,Defender - Right-Back,right,,,adidas,leo-ataide,743830,,Brazil,Piracicaba
,Zanella,0,2004-09-10,19,1.78,Brazil,Defender - Left-Back,left,,,,zanella,1091914,,Brazil,Içara
,Léo Derik,0,2005-07-24,18,1.66,Brazil,Defender - Left-Back,left,2022-06-17,,,leo-derik,1052819,,Brazil,São Paulo
Lucas,Esquivel,37,2001-10-14,22,1.83,Argentina,Defender - Left-Back,left,2023-07-03,2028-06-30,,lucas-esquivel,829969,,Argentina,Santa Fe
,Fernando,6,1999-09-14,24,1.81,Brazil,Defender - Left-Back,left,2023-01-16,2026-12-31,Nike,fernando,731057,,Brazil,Santa Maria
,Vinicius Kauê,0,2003-03-01,21,1.81,Brazil,Defender - Left-Back,left,2024-04-19,,,vinicius-kaue,658676,,Brazil,Presidente Prudente
,João Vitor,0,2004-02-23,20,,Brazil,Defender - Centre-Back,right,,,,joao-vitor,1056019,,Brazil,Rio de Janeiro
,Marcos André,0,2006-06-23,17,1.95,Brazil,Defender - Centre-Back,,,,,marcos-andre,1196689,,,
,Kaique Rocha,4,2001-02-28,23,1.95,Brazil,Defender - Centre-Back,right,2023-01-20,2026-12-31,Puma,kaique-rocha,633377,,Brazil,Taboão da Serra
,Pedrinho,23,2002-07-11,21,1.77,Brazil,Defender - Left-Back,left,2023-07-19,2028-06-30,Nike,pedrinho,858712,,Brazil,Salvador
,Bruno Peres,0,1990-03-01,34,1.78,Brazil,Defender - Right-Back,right,2024-01-01,,Nike,bruno-peres,148751,,Brazil,São Paulo
,Lucas Belezi,45,2003-05-08,21,1.86,Brazil,Defender - Centre-Back,right,2024-01-01,2025-12-31,,lucas-belezi,668230,,Brazil,São Paulo
,Cacá,25,1999-04-25,25,1.87,Brazil,Defender - Centre-Back,right,2024-03-07,2024-12-31,,caca,603122,,Brazil,Visconde do Rio Branco
,Zé Ivaldo,5,1997-02-21,27,1.85,Brazil,Defender - Centre-Back,right,2024-01-01,2026-12-31,adidas,ze-ivaldo,484848,,Brazil,Maceió
,Pedro Henrique,14,1995-10-02,28,1.88,Brazil,Defender - Centre-Back,right,2024-04-19,2026-12-31,Nike,pedro-henrique,329720,,Brazil,Lauro Müller
,Thiago Heleno,44,1988-09-17,35,1.87,Brazil,Defender - Centre-Back,right,2017-01-20,2024-12-31,Nike,thiago-heleno,45431,,Brazil,Sete Lagoas
,Matheus Felipe,42,1998-11-09,25,1.86,Brazil,Defender - Centre-Back,right,2024-01-03,2024-12-31,Nike,matheus-felipe,882916,,Brazil,Teresina
,Ruan Índio,0,2006-08-10,17,1.91,Brazil,Attack - Centre-Forward,right,2024-01-01,2025-12-31,Nike,ruan-indio,1091609,,Brazil,Belo Horizonte
,Léo Linck,24,2001-03-03,23,1.94,Brazil,Goalkeeper,right,2023-01-01,2026-12-31,Nike,leo-linck,742034,,Brazil,Marechal Cândido Rondon
,Arielson,99,2004-09-05,19,1.8,Brazil,Attack - Centre-Forward,right,2024-03-11,2024-06-30,,arielson,1084065,,Brazil,Porto Velho
,Gabriel Pereira,43,2002-07-02,21,1.95,Brazil,Goalkeeper,right,2023-01-01,2025-08-31,Puma,gabriel-pereira,627213,,Brazil,Itapema
,Bento,1,1999-06-10,24,1.9,Brazil,Goalkeeper,right,2021-03-01,2026-12-31,Nike,bento,691906,,Brazil,Curitiba
,Matheus Davó,9,1999-08-16,24,1.78,Brazil,Attack - Centre-Forward,right,2023-07-01,2024-05-31,adidas,matheus-davo,670522,,Brazil,São Paulo
,Henrique Dourado,9,1989-09-15,34,1.86,Brazil,Attack - Centre-Forward,left,2024-01-01,2024-04-30,,henrique-dourado,270959,,Brazil,Guarulhos
,Rafael Elias,19,1999-04-12,25,1.79,Brazil,Attack - Centre-Forward,left,2023-07-27,2026-12-31,adidas,rafael-elias,587328,,Brazil,São Paulo
,Mycael,41,2004-03-12,20,1.91,Brazil,Goalkeeper,left,2023-01-01,2027-03-31,Nike,mycael,743586,,Brazil,Porto Velho
,Gilberto,9,1989-06-05,34,1.78,Brazil,Attack - Centre-Forward,right,2024-01-19,2024-12-31,Mizuno,gilberto,164013,,Brazil,Piranhas
